Site,File path
aapirc,events/Upcoming Events.html
aapirc,events/past-events1/Yell-oh-girls-pt2.html
aapirc,events/past-events1/woman-of-color-workshop.html
aapirc,events/past-events1/YELL-Oh-Girls-pt1.html
aapirc,events/events/woman-of-color-workshop.html
academicaffairs,program-development/curricular-updates/spring-2014.html
admissions,publications/transfer-guide15.pdf
admissions,images/billboard-tabling.jpg
admissions,images/billboard-dining.jpg
admissions,visit/online-events/international-day-winter-2014.html
admissions,publications/communities-of-learning-2015-16-web.pdf
admissions,apply/counselors/eslug/summer15/academic-updates.html
admissions,images/email/bookstore-computer.jpg
admissions,academics/majors/sociology.html
admissions,visit/spring-spotlight/next-steps-spring-tours-2014.pdf
admissions,apply/counselors/eslug/spring12/images/mother-daughter.jpg
admissions,visit/online-events/webcasts/webcasts-2012.html
admissions,apply/parents-and-guardians/prospective-students/images/move-in-weekend-sunday-2.png
admissions,apply/counselors/eslug/winter12/images/mother-daughter.jpg
admissions,academics/communities-of-learning-2016-17-final.pdf
admissions,visit/spring-spotlight/next-steps-transfer-2014.pdf
admissions,apply/counselors/eslug/spring13/honors-program.html
admissions,apply/parents-and-guardians/prospective-students/images/move-in-weekend-sunday-sm.jpg
admissions,publications/2015-visitor-guide-final.pdf
admissions,apply/counselors/eslug/fall12/online-events.html
admissions,publications/visitor-guide14-final.pdf
admissions,images/billboard-move-in-2010.jpg
admissions,index.html
admissions,visit/spring-spotlight/next-steps-oncampus-2014.pdf
admissions,images/billboard-student-and-dad.jpg
admissions,apply/parents-and-guardians/prospective-students/images/move-in-weekend-sunday.jpg
admissions,news-events/news/index.html
admissions,apply/counselors/eslug/summer11/images/move-in.jpg
admissions,publications/communities-of-learning14.pdf
admissions,why-ucsc/faq/housing.html
admissions,apply/counselors/eslug/summer14/academic-updates.html
admissions,apply/images/Student_and_Parent.jpg
advising,planning/your-major/clusters/pcs9.html
advising,about/colleges-advising/index.html
advising,planning/your-major/declaration/college-process.html
advising,procedures/graduating-seniors/college-commencement.html
alumni,get-involved/regionalevents/2015/03/kuumbwa/index.html
alumni,alumniweekend/2016/parking.html
alumni,alumniweekend/2016/faqs.html
alumni,get-involved/regionalevents/2015/02/young-educated-broke-feb26.html
alumni,association/awards-programs/alumni-achievement-award.html
alumni,association/alumni-council.html
alumni,association/awards-programs/distinguished-visiting-professor.html
alumni,news-events/news/index.html
alumni,get-involved/regionalevents/2016/06/LAyoungalumnimixer-jun29.html
alumni,life-members/index.php
anthro,images/declaration-form.pdf
apo,docs/NSF_PDF_council.html
careers,student/CareerEvents/Fairs/Winter/socjusticefair.html
careers,student/CareerEvents/Fairs/Spring/springfair.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/socimpact2015.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/mtf2014.html
careers,MCC/archive/MCC_2015.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/ceci2014.html
careers,student/CareerEvents/Fairs/Spring/educareers.html
careers,student/CareerEvents/Job Fairs/Spring/springfair_2017.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/winter2015.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/socimpact2015.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/fall2014.html
careers,images/CECI_WCMS.jpg
careers,student/resumecoverltr/tester
careers,intern/cuip/success/2013-14/Turner.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/ceci2014.html
careers,intern/cuip/success/2012-13/index.html
careers,images/banners/Careers in Education Banner.jpg
careers,student/PreviousFairs/2013-14/index.html
careers,intern/cuip/success/2012-13/Shugar.html
careers,MCC/archive/MCC_2011.html
careers,images/banners/CECI_Banner.jpg
careers,images/banners/SpringJobInternshipFair.jpg
careers,student/CareerEvents/Job Fairs/Winter/educareers_2017.html
careers,intern/cuip/success/2011-12/Fowler.html
careers,student/PreviousFairs/2013-14/ceci2014.html
careers,images/banners/SpringJobFair2016.jpg
careers,student/CareerEvents/images/CECI_Banner.jpg
careers,intern/cuip/success/2013-14/Johansen.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/winter2015.html
careers,MCC/archive/MCC_2012.html
careers,student/CareerEvents/Fairs/Winter/ceciwinter.html
careers,images/banners/CECI_WCMS_Main.jpg
careers,student/CareerEvents/Job Fairs/events_archive/2013-14/spring2014.html
careers,employer/PreviousFairs/2013-14/ceci2014.html
careers,about/student_staff.html
careers,intern/cuip/success/2010-2011/index.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/mtf2014.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/fall2014.html
careers,MCC/archive/MCC_2014.html
careers,MCC/archive/MCC_2016.html
careers,images/banners/SpringJobInternshipFair.psd
careers,images/banners/Spring 2014 Bannerv2.jpg
careers,intern/cuip/success/2013-14/Owings.html
careers,intern/cuip/success/2009-10/Schaffener.html
careers,intern/cuip/success/2010-2011/Jessen.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/spring2015.html
careers,intern/cuip/success/2012-13/Laird.html
careers,intern/cuip/success/2008-09/pimentel.html
careers,intern/cuip/success/2008-09/engbring.html
careers,student/CareerEvents/Job Fairs/events_archive/2014-15/educareers2015.html
careers,MCC/archive/MCC_2013.html
careers,student/CareerEvents/Job Fairs/events_archive/2013-14/winter2014.html
careers,student/PreviousFairs/2013-14/gradfair2014.html
careers,MCC/archive/index.html
careers,student/CareerEvents/Fairs/events_archive/2013-14/spring2014.html
careers,intern/cuip/success/2012-13/Laird Mc.html
careers,student/CareerEvents/Fairs/events_archive/2013-14/winter2014.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/educareers2015.html
careers,intern/cuip/success/2013-14/index.html
careers,images/banners/CareersinEducationFair.jpg
careers,employer/PreviousFairs/2013-14/index.html
careers,intern/cuip/success/2008-09/index.html
careers,images/banners/SpringJobInternshipFair1.jpg
careers,employer/PreviousFairs/2013-14/gradfair2014.html
careers,student/CareerEvents/Fairs/events_archive/2014-15/spring2015.html
casfs,farm-to-college/measure-43-initiative/index.html
chancellor,blog/2013/index.html
chancellor,blog/index.html
chancellor,blog/2013/seaside.html
ches,news-events/news/principles-of-community.html
ches,news-events/news/unity-bbq.html
ches,contact/index.html
ches,files/Oakes-and-Rachel-Carson-College-org-chart.pdf
ches,news-events/news/college-eight-recycling-demo.html
ches,news-events/news/index.html
ches,news-events/news/sexual-assault-awareness.html
ches,newsletter/2014-may/index.html
ches,news-events/news/oakes-welcome-week.html
ches,newsletter/2014-november/index.html
ches,toolkit/safety-security-wellness.html
cied,news-events/archives/hackathon-2016.html
clrc,news-events/archives/news-article-rebecca-hester-bodies-as-of-knowledge.html
clrc,news-events/archives/news-article-rebecca-hester-those-against-whom-society-must-be-defended.html
clrc,news-events/archives/news-article-utopian-dreaming.html
cms,delivery-collection/index.html
collegenine,news-events/news/cesarchavez_2013.html
collegenine,news-events/news/2012-13-articles/cesarchavez_2013.html
collegenine,residential-life/images/documents/bone_marrow_drive_w13.html
collegeten,news-events/news/cesarchavez_2013.html
collegeten,private/archives_reslife/2013_summer_session_ info/summer-dining_schedule.html
collegeten,news-events/news/2012-13-articles/cesarchavez_2013.html
collegeten,private/archives_reslife/bone_marrow_drive_w13.html
communitystudies,images/slideshow/CollegeEight_20040417_1419.jpg
conferenceservices,sleeping/index.html
conferenceservices,gallery/index.html
conferenceservices,index.html
cowell,activities/ucsc-ww-recruit.html
cowell,activities/ucsc-multi-recruit.html
cowell,activities/commencement/gradinfo/non-affiliate.html
creativewriting,news-events/living-writers-series/list-page.html
crown,news-events/news/index.html
deanofstudents,slug-support/see-say-do/contacts.html
deanofstudents,get-involved/sfac/contact-sfac.html
dickens,universe/information/undergrad-schedule.html
dickens,universe/schedule/universe.html
dickens,universe/information/undergrad-info.html
dickens,universe/information/index.html
dickens,universe/information/roadscholar-info.html
dickens,universe/information/directions.html
dickens,news-events/news/review-2016-universe.html
dickens,universe/schedule/authorship.html
dining,cafes/banana-joes/index.html
dining,cafes/owls-nest/index.html
dining,cafes/cowell-coffee-shop/index.html
dining,cafes/iveta-cafe/index.html
dining,cafes/porter-slug-grill/index.html
dining,locations/test1.html
dining,cafes/college-eight-cafe/index.html
dining,cafes/bay-tree-express/index.html
dining,cafes/stevenson-coffee-house/index.html
dining,cafes/index.html
dining,cafes/terra-fresca/index.html
dining,hours/index.html
dining,cafes/vivas/index.html
dining,cafes/oakes-cafe/index.html
dining,cafes/Perk/index.html
dining,dining-halls/carson-oakes/index.html
dining,locations/test.html
dining,cafes/global-village-cafe/index.html
